Cities
70010 Locorotondo BA
70010 San Marco BA
70010 San Pietro BA
70010 Adelfia Canneto BA
70010 Adelfia BA
70010 Superga BA
70010 Trito BA
70010 Adelfia Montrone BA
70010 Cellamare BA
70010 Turi BA
70010 Valenzano BA
70010 Capurso BA
70010 Sammichele Di Bari BA
70010 Casamassima BA
70011 Alberobello BA
70011 Coreggia BA
70013 Castellana Grotte BA
70014 Conversano BA
70014 Triggianello BA
70015 Noci BA
70015 Lamadacqua BA
70016 Noicattaro BA
70016 Parchitello BA
70016 Parco Scizzo BA
70017 San Pietro Piturno BA
70017 San Michele In Monte Laureto BA
70017 Putignano BA
70018 Rutigliano BA
70019 Triggiano BA
70020 Cassano Delle Murge BA
70020 Bitetto BA
70020 Poggiorsini BA
70020 Toritto BA
70020 Binetto BA
70020 Bitritto BA
70021 Acquaviva Delle Fonti BA
70022 Parisi BA
70022 Curtaniello BA
70022 Altamura BA
70023 Gioia Del Colle BA
70023 Murgia BA
70024 Gravina In Puglia BA
70024 Dolcecanto BA
70024 La Murgetta BA
70024 Murgetta BA
70025 Grumo Appula BA
70026 Modugno BA
70027 Palo Del Colle BA
70028 Sannicandro Di Bari BA
70029 Santeramo In Colle BA
70032 Palombaio BA
70032 Bitonto BA
70032 Mariotto BA
70033 Corato BA
70037 Ruvo Di Puglia BA
70038 Terlizzi BA
70042 Cozze BA
70042 Mola Di Bari BA
70042 San Maderno BA
70043 Sant'Antonio D'Ascula BA
70043 Impalata BA
70043 Antonelli BA
70043 Gorgofreddo BA
70043 Santa Lucia BA
70043 Cozzana BA
70043 Monopoli BA
70043 Lamalunga BA
70044 Polignano A Mare BA
70054 Giovinazzo BA
70056 Molfetta BA
70100 Bari BA
70121 Bari BA
70122 Bari BA
70123 San Girolamo BA
70123 San Cataldo BA
70123 Bari BA
70123 San Paolo BA
70123 San Francesco Dell'Arena BA
70123 Stanic BA
70123 Fesca BA
70124 Bari BA
70124 Poggio Franco BA
70124 Picone BA
70125 San Pasquale BA
70125 Bari BA
70125 Carrassi BA
70126 Bari BA
70126 Japigia BA
70126 Torre A Mare BA
70126 Mungivacca BA
70127 Santo Spirito BA
70128 Palese BA
70129 Loseto BA
70129 Ceglie Del Campo BA
70131 Carbonara Di Bari BA
74010 Statte TA
74011 Borgo Perrone TA
74011 Case Perrone TA
74011 Marina Di Castellaneta TA
74011 Castellaneta TA
74012 Crispiano TA
74013 Ginosa TA
74014 Laterza TA
74015 Martina Franca TA
74015 Specchia Tarantina TA
74015 San Paolo TA
74015 Carpari TA
74015 Lanzo Di Martina Franca TA
74016 Massafra TA
74017 Mottola TA
74017 San Basilio Mottola TA
74018 Palagianello TA
74019 Palagiano TA
74019 Conca D'Oro TA
74020 Roccaforzata TA
74020 Montemesola TA
74020 Torricella TA
74020 San Marzano Di San Giuseppe TA
74020 Avetrana TA
74020 Faggiano TA
74020 Leporano TA
74020 Maruggio TA
74020 Monteparano TA
74020 Monteiasi TA
74020 Leporano Marina TA
74020 Lizzano TA
74021 Carosino TA
74022 Fragagnano TA
74023 Grottaglie TA
74024 Uggiano Montefusco TA
74024 Specchiarica TA
74024 Manduria TA
74024 San Pietro In Bevagna TA
74025 Marina Di Ginosa TA
74026 Monti D'Arena TA
74026 Lido Silvana TA
74026 Pulsano TA
74026 Bosco Caggione TA
